time,vehicle_id,speed,acceleration,lane_position,lane_index
0.0,normal_flow.0,0.0,0.0,5.1,0
0.1,normal_flow.0,0.26,2.6,5.126,0
0.2,normal_flow.0,0.52,2.6,5.178,0
0.3,normal_flow.0,0.78,2.6,5.256,0
0.4,normal_flow.0,1.04,2.6,5.36,1
0.5,normal_flow.0,1.3,2.599,5.49,1
0.6,normal_flow.0,1.56,2.599,5.646,1
0.7,normal_flow.0,1.82,2.598,5.828,1
0.8,normal_flow.0,2.079,2.597,6.036,1
0.9,normal_flow.0,2.339,2.595,6.27,1
1.0,normal_flow.0,2.598,2.593,6.529,1
1.1,normal_flow.0,2.857,2.591,6.815,2
1.2,normal_flow.0,3.116,2.589,7.127,2
1.3,normal_flow.0,3.375,2.585,7.464,2
1.4,normal_flow.0,3.633,2.581,7.828,2
1.5,normal_flow.0,3.89,2.576,8.217,2
1.6,normal_flow.0,4.147,2.57,8.631,2
1.7,normal_flow.0,4.403,2.563,9.072,2
1.8,normal_flow.0,4.659,2.554,9.537,2
1.9,normal_flow.0,4.913,2.544,10.029,2
2.0,normal_flow.0,5.167,2.533,10.545,2
2.1,normal_flow.0,5.419,2.52,11.087,2
2.2,normal_flow.0,5.669,2.505,11.654,2
2.3,normal_flow.0,5.918,2.488,12.246,2
2.4,normal_flow.0,6.165,2.468,12.862,2
2.5,normal_flow.0,6.409,2.447,13.503,2
2.6,normal_flow.0,6.652,2.423,14.169,2
2.7,normal_flow.0,6.891,2.397,14.858,2
2.8,normal_flow.0,7.128,2.367,15.57,2
2.9,normal_flow.0,7.361,2.335,16.307,2
3.0,normal_flow.0,7.591,2.3,17.066,2
3.1,normal_flow.0,7.818,2.262,17.848,2
3.2,normal_flow.0,8.04,2.22,18.651,2
3.3,normal_flow.0,8.257,2.175,19.477,2
3.4,normal_flow.0,8.47,2.127,20.324,2
3.5,normal_flow.0,8.677,2.075,21.192,2
3.6,normal_flow.0,8.879,2.02,22.08,2
3.7,normal_flow.0,9.076,1.962,22.987,2
3.8,normal_flow.0,9.266,1.9,23.914,2
3.8,normal_flow.1,0.0,0.0,5.1,0
3.9,normal_flow.0,9.449,1.835,24.859,2
3.9,normal_flow.1,0.26,2.6,5.126,0
4.0,normal_flow.0,9.626,1.766,25.821,2
4.0,normal_flow.1,0.52,2.6,5.178,0
4.1,normal_flow.0,9.795,1.694,26.801,2
4.1,normal_flow.1,0.78,2.6,5.256,0
4.2,normal_flow.0,9.957,1.619,27.797,2
4.2,normal_flow.1,1.04,2.6,5.36,1
4.3,normal_flow.0,10.111,1.541,28.808,2
4.3,normal_flow.1,1.3,2.599,5.49,1
4.4,normal_flow.0,10.257,1.46,29.833,2
4.4,normal_flow.1,1.56,2.599,5.646,1
4.5,normal_flow.0,10.395,1.377,30.873,2
4.5,normal_flow.1,1.819,2.598,5.828,1
4.6,normal_flow.0,10.524,1.291,31.925,2
4.6,normal_flow.1,2.079,2.596,6.036,1
4.7,normal_flow.0,10.644,1.203,32.99,2
4.7,normal_flow.1,2.339,2.595,6.27,1
4.8,normal_flow.0,10.755,1.112,34.065,2
4.8,normal_flow.1,2.598,2.592,6.529,2
4.9,normal_flow.0,10.857,1.019,35.151,2
4.9,normal_flow.1,2.854,2.564,6.815,2
5.0,normal_flow.0,10.95,0.925,36.246,2
5.0,normal_flow.1,3.111,2.564,7.126,2
5.1,normal_flow.0,11.033,0.829,37.349,2
5.1,normal_flow.1,3.367,2.564,7.463,2
5.2,normal_flow.0,11.106,0.731,38.46,2
5.2,normal_flow.1,3.623,2.562,7.825,2
5.3,normal_flow.0,11.169,0.632,39.577,2
5.3,normal_flow.1,3.879,2.56,8.213,2
5.4,normal_flow.0,11.222,0.532,40.699,2
5.4,normal_flow.1,4.135,2.556,8.626,2
5.5,normal_flow.0,11.265,0.43,41.825,2
5.5,normal_flow.1,4.39,2.551,9.065,2
5.6,normal_flow.0,11.298,0.328,42.955,2
5.6,normal_flow.1,4.644,2.542,9.53,2
5.7,normal_flow.0,11.32,0.224,44.087,2
5.7,normal_flow.1,4.897,2.529,10.019,2
5.8,normal_flow.0,11.332,0.119,45.22,2
5.8,normal_flow.1,5.148,2.513,10.534,2
5.9,normal_flow.0,11.334,0.013,46.354,2
5.9,normal_flow.1,5.398,2.496,11.074,2
6.0,normal_flow.0,11.324,-0.094,47.486,2
6.0,normal_flow.1,5.645,2.476,11.639,2
6.1,normal_flow.0,11.304,-0.202,48.617,2
6.1,normal_flow.1,5.891,2.454,12.228,2
6.2,normal_flow.0,11.273,-0.312,49.744,2
6.2,normal_flow.1,6.134,2.429,12.841,2
6.3,normal_flow.0,11.23,-0.422,50.867,2
6.3,normal_flow.1,6.374,2.4,13.478,2
6.4,normal_flow.0,11.177,-0.534,51.985,2
6.4,normal_flow.1,6.611,2.369,14.139,2
6.5,normal_flow.0,11.112,-0.647,53.096,2
6.5,normal_flow.1,6.844,2.335,14.824,2
6.6,normal_flow.0,11.036,-0.762,54.199,2
6.6,normal_flow.1,7.074,2.297,15.531,2
6.7,normal_flow.0,10.948,-0.877,55.294,2
6.7,normal_flow.1,7.299,2.255,16.261,2
6.8,normal_flow.0,10.849,-0.995,56.379,2
6.8,normal_flow.1,7.52,2.21,17.013,2
6.9,normal_flow.0,10.738,-1.113,57.453,2
6.9,normal_flow.1,7.737,2.162,17.787,2
7.0,normal_flow.0,10.614,-1.233,58.514,2
7.0,normal_flow.1,7.947,2.11,18.582,2
7.1,normal_flow.0,10.479,-1.354,59.562,2
7.1,normal_flow.1,8.153,2.054,19.397,2
7.2,normal_flow.0,10.331,-1.477,60.595,2
7.2,normal_flow.1,8.352,1.995,20.232,2
7.3,normal_flow.0,10.171,-1.599,61.613,2
7.3,normal_flow.1,8.546,1.932,21.087,2
7.4,normal_flow.0,9.999,-1.722,62.612,2
7.4,normal_flow.1,8.732,1.867,21.96,2
7.5,normal_flow.0,9.815,-1.845,63.594,2
7.5,normal_flow.1,8.912,1.798,22.851,2
7.5,normal_flow.2,0.0,0.0,5.1,0
7.6,normal_flow.0,9.618,-1.967,64.556,2
7.6,normal_flow.1,9.085,1.726,23.76,2
7.6,normal_flow.2,0.26,2.6,5.126,0
7.7,normal_flow.0,9.409,-2.088,65.497,2
7.7,normal_flow.1,9.25,1.652,24.685,2
7.7,normal_flow.2,0.52,2.6,5.178,0
7.8,normal_flow.0,9.188,-2.207,66.415,2
7.8,normal_flow.1,9.407,1.575,25.625,2
7.8,normal_flow.2,0.78,2.6,5.256,1
7.9,normal_flow.0,8.956,-2.322,67.311,2
7.9,normal_flow.1,9.557,1.496,26.581,2
7.9,normal_flow.2,1.04,2.6,5.36,1
8.0,normal_flow.0,8.713,-2.433,68.182,2
8.0,normal_flow.1,9.699,1.415,27.551,2
8.0,normal_flow.2,1.3,2.599,5.49,1
8.1,normal_flow.0,8.459,-2.54,69.028,2
8.1,normal_flow.1,9.832,1.333,28.534,2
8.1,normal_flow.2,1.56,2.599,5.646,1
8.2,normal_flow.0,8.195,-2.64,69.848,2
8.2,normal_flow.1,9.957,1.25,29.53,2
8.2,normal_flow.2,1.819,2.598,5.828,1
8.3,normal_flow.0,7.922,-2.732,70.64,2
8.3,normal_flow.1,10.073,1.165,30.537,2
8.3,normal_flow.2,2.079,2.597,6.036,2
8.4,normal_flow.0,7.64,-2.816,71.404,2
8.4,normal_flow.1,10.181,1.08,31.555,2
8.4,normal_flow.2,2.335,2.556,6.269,2
8.5,normal_flow.0,7.351,-2.89,72.139,2
8.5,normal_flow.1,10.281,0.995,32.583,2
8.5,normal_flow.2,2.591,2.559,6.528,2
8.6,normal_flow.0,7.056,-2.952,72.845,2
8.6,normal_flow.1,10.352,0.713,33.618,2
8.6,normal_flow.2,2.847,2.56,6.813,2
8.7,normal_flow.0,6.756,-3.003,73.52,2
8.7,normal_flow.1,10.414,0.621,34.66,2
8.7,normal_flow.2,3.103,2.561,7.123,2
8.8,normal_flow.0,6.451,-3.041,74.165,2
8.8,normal_flow.1,10.467,0.53,35.707,2
8.8,normal_flow.2,3.359,2.562,7.459,2
8.9,normal_flow.0,6.145,-3.065,74.78,2
8.9,normal_flow.1,10.511,0.438,36.758,2
8.9,normal_flow.2,3.615,2.561,7.821,2
9.0,normal_flow.0,5.837,-3.076,75.363,2
9.0,normal_flow.1,10.546,0.347,37.812,2
9.0,normal_flow.2,3.871,2.56,8.208,2
9.1,normal_flow.0,5.53,-3.072,75.916,2
9.1,normal_flow.1,10.571,0.257,38.869,2
9.1,normal_flow.2,4.127,2.556,8.62,2
9.2,normal_flow.0,5.225,-3.053,76.439,2
9.2,normal_flow.1,10.588,0.166,39.928,2
9.2,normal_flow.2,4.382,2.55,9.059,2
9.3,normal_flow.0,4.923,-3.02,0.131,0
9.3,normal_flow.1,10.596,0.076,40.988,2
9.3,normal_flow.2,4.636,2.542,9.522,2
9.4,normal_flow.0,4.62,-3.027,0.593,0
9.4,normal_flow.1,10.594,-0.014,42.047,2
9.4,normal_flow.2,4.889,2.533,10.011,2
9.5,normal_flow.0,4.326,-2.936,1.026,0
9.5,normal_flow.1,10.584,-0.105,43.106,2
9.5,normal_flow.2,5.142,2.523,10.525,2
9.6,normal_flow.0,4.042,-2.844,1.43,0
9.6,normal_flow.1,10.564,-0.195,44.162,2
9.6,normal_flow.2,5.392,2.508,11.065,2
9.7,normal_flow.0,3.767,-2.749,1.807,0
9.7,normal_flow.1,10.536,-0.286,45.216,2
9.7,normal_flow.2,5.641,2.489,11.629,2
9.8,normal_flow.0,4.024,2.57,2.209,0
9.8,normal_flow.1,10.498,-0.377,46.265,2
9.8,normal_flow.2,5.888,2.469,12.217,2
9.9,normal_flow.0,4.28,2.561,2.637,0
9.9,normal_flow.1,10.451,-0.469,47.31,2
9.9,normal_flow.2,6.133,2.451,12.831,2
10.0,normal_flow.0,4.535,2.551,3.091,0
10.0,normal_flow.1,10.395,-0.562,48.35,2
10.0,normal_flow.2,6.377,2.433,13.468,2
10.1,normal_flow.0,4.789,2.538,3.57,0
10.1,normal_flow.1,10.329,-0.655,49.383,2
10.1,normal_flow.2,6.617,2.407,14.13,2
10.2,normal_flow.0,5.042,2.523,4.074,0
10.2,normal_flow.1,10.254,-0.751,50.408,2
10.2,normal_flow.2,6.855,2.378,14.816,2
10.3,normal_flow.0,5.292,2.505,4.603,0
10.3,normal_flow.1,10.17,-0.847,51.425,2
10.3,normal_flow.2,7.09,2.346,15.525,2
10.4,normal_flow.0,5.54,2.485,5.157,0
